Location,Linkoping,,,,,,,,,,,,,,,
Commodity,Wheat,Variety,,,,,,,,,,,,,,
Period : ,from, 1651,to, 1735,,,,,,,,,,,
Data points, 85,Completeness, 100%,,,,,,,,,
,,,,,,,,,,,,,,,,
Data : ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Item Year,,Original Value,Standard Value,,Original Currency,Standard Currency,,Orignal Measure,Standard Measure,,Sources,,Notes,,
, 1651,, 1.4, 35.38346,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1652,, 1.5, 37.91085,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1653,, .700115313653137, 17.694644425738,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1654,, .539144736842105, 13.6262901644737,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1655,, .623087445759222, 15.7968297038592,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1656,, 1.01440105604567, 25.7348007645478,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1657,, 1.12455385559282, 28.2449488666315,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1658,, .614801572622188, 15.5384334662959,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1659,, .728248456647077, 17.9825596186031,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1660,, .762860076481886, 19.0088936632351,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1661,, .819097500578982, 20.5375241668385,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1662,, .8663124310534, 22.0230465502806,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1663,, .816687641146758, 20.4831844124842,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1664,, .806706586826347, 20.8343529383444,,Swedish Riksdaler,Silver,,Linkoping 1639-1664 Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1665,, .800060856004912, 20.3654471950621,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1666,, .798467265694156, 20.5184528667224,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1667,, .860504201680672, 22.1126346218487,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1668,, .783407882045699, 20.131467367293,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1669,, .684651183055712, 17.5936868463376,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1670,, .639018276153555, 16.4210443478007,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1671,, .602918641083405, 15.4933811955126,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1672,, .776626548055119, 19.9572053933368,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1673,, .802867383512545, 20.5337442796718,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1674,, .512744217827603, 13.1151413314258,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1675,, .683582468191398, 17.1924743181558,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1676,, .581822376009227, 14.9512641430219,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1677,, .734439416792358, 18.3688666275201,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1678,, .77338355304457, 20.0221816342019,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1679,, .872072577628133, 22.4099106490834,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1680,, .787239324726912, 18.8936934875228,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
