YEAR,MNTH,DAY,AAR,ADWIC,ADEIC
1723,7,7,5,91.5,660
1723,7,12,5.07,90.5,660
1723,7,14,5.125,91,660
1723,7,16,4.935,91,665
1723,7,19,5,91.5,665
1723,7,21,5,91.5,665
1723,7,23,4.935,91.25,665
1723,7,26,5,92.25,665
1723,7,28,4.938,92.25,665
1723,7,30,5,92.25,663
1723,8,2,4.875,92,663
1723,8,4,5,91.25,651
1723,8,6,4.935,91,640
1723,8,9,4.875,91,640
1723,8,11,4.938,91,640
1723,8,13,4.875,90.5,640
1723,8,16,4.938,90.5,640
1723,8,18,4.875,89.5,640
1723,8,20,4.875,90,640
1723,8,23,4.875,90,645
1723,8,25,4.875,90,645
1723,8,27,4.875,90,640
1723,8,30,4.938,90,640
1723,9,1,4.938,89.75,638
1723,9,3,4.938,89.5,640
1723,9,6,4.938,89.5,640
1723,9,8,5,90,640
1723,9,10,5,90,635
1723,9,13,5,90,635
1723,9,15,4.938,90.5,638
1723,9,17,4.938,90.25,640
1723,9,20,4.875,90.5,640
1723,9,22,4.875,90.5,640
1723,9,24,4.875,92,640
1723,9,27,4.938,92,640
1723,9,29,4.875,91.5,639
1723,10,1,4.938,92,640
1723,10,3,4.875,91.5,638
1723,10,6,4.875,88.5,635
1723,10,8,4.938,89.5,635
1723,10,11,4.875,88,636
1723,10,13,5,88,635
1723,10,15,5.125,89,636
1723,10,18,5.125,88,635
1723,10,20,5.125,87.75,635
1723,10,22,5.125,88,635
1723,10,25,5.125,87.75,635
1723,10,27,5.125,87.25,634
1723,10,29,5.125,88,632
1723,11,1,5.125,88,632
1723,11,3,5.125,88,632
1723,11,5,5.125,88.25,632
1723,11,8,5.063,88.25,632
1723,11,10,4.875,88.25,632
1723,11,12,5,88.25,632
1723,11,15,4.75,88.25,632
1723,11,17,4.875,88,632
1723,11,19,4.75,87.75,631
1723,11,22,4.875,87.75,632
1723,11,24,4.813,87.75,634
1723,11,26,4.938,87.5,635
1723,11,29,4.938,87.5,635
1723,12,1,5,87.5,635
1723,12,3,4.875,87.5,642
1723,12,6,4.875,87.5,642
1723,12,8,4.813,87.25,642
1723,12,10,4.875,86,642
1723,12,13,4.75,86.5,645
1723,12,15,4.75,87.5,654
1723,12,17,4.75,87,642
1723,12,20,4.75,87,640
1723,12,22,4.75,87,640
1723,12,24,4.75,87,638
1723,12,27,4.75,87.5,642
1723,12,29,4.75,87.5,642
1723,12,31,4.75,87.5,648
1724,1,3,4.75,87.5,650
1724,1,5,4.75,87.5,650
1724,1,7,4.75,87.5,650
1724,1,10,4.75,87.5,650
1724,1,12,4.625,87.5,648
1724,1,14,4.625,87.5,645
1724,1,17,0,87.5,645
1724,1,19,0,88.5,648
1724,1,21,0,89,647
1724,1,24,0,88.75,648
1724,1,26,0,88.75,646
1724,1,28,0,88.25,645
1724,1,31,4.75,88.5,645
1724,2,2,4.625,88,640
1724,2,4,4.625,88,640
1724,2,7,4.625,88,640
1724,2,9,4.625,87.75,636
1724,2,11,4.625,87.5,635
1724,2,14,4.625,87.5,635
1724,2,16,4.625,87,634
1724,2,18,4.625,87,636
1724,2,21,4.683,87,630
1724,2,23,4.75,87,630
1724,2,25,4.875,87,627
1724,2,28,4.875,87,624
1724,3,1,4.875,87,622
1724,3,3,4.875,87,620
1724,3,6,4.875,87,625.25
1724,3,8,4.875,87,627
1724,3,10,4.875,87,627
1724,3,12,4.875,87,630
1724,3,15,4.875,87,629
1724,3,17,4.813,87,629
1724,3,20,4.938,86.5,629
1724,3,22,4.875,86.5,629
1724,3,24,4.875,86.25,630
1724,3,27,4.875,86.25,630
1724,3,29,4.75,86.25,630
1724,3,31,4.875,86.5,630
1724,4,3,4.75,86,636
1724,4,7,4.813,86,638
