Chartered Bank,Chartered Bank (Split Adj)
20,20
20.5,20.5
21,21
18.5,18.5
18,18
18,18
18,18
17.5,17.5
17,17
17,17
17,17
16.75,16.75
17,17
18.5,18.5
18.5,18.5
18,18
17,17
16.5,16.5
15.5,15.5
15.5,15.5
15,15
12.5,12.5
14,14
14,14
13,13
13.5,13.5
11.5,11.5
12.5,12.5
13,13
13,13
13,13
13.5,13.5
13.5,13.5
13.5,13.5
13.5,13.5
13.5,13.5
14.5,14.5
15,15
15,15
14.5,14.5
15,15
16,16
16.5,16.5
15,15
13.5,13.5
14,14
13,13
13.5,13.5
14,14
14.5,14.5
13.5,13.5
14,14
14.5,14.5
14.5,14.5
14.5,14.5
14.5,14.5
14,14
14,14
13.5,13.5
13.5,13.5
13.5,13.5
14,14
14,14
13.5,13.5
13.5,13.5
14,14
14,14
14,14
14.5,14.5
14.5,14.5
14.5,14.5
14,14
14,14
15,15
15,15
15,15
15,15
14,14
13.5,13.5
15,15
15,15
16,16
16,16
16.5,16.5
16,16
17,17
15.5,15.5
15.5,15.5
14,14
13.5,13.5
12.5,12.5
13.5,13.5
14,14
15.5,15.5
16,16
16.5,16.5
18.5,18.5
19,19
19,19
19.5,19.5
18,18
18.5,18.5
19,19
20.5,20.5
21,21
22,22
21,21
20.5,20.5
20.5,20.5
20.5,20.5
22,22
22.5,22.5
20.5,20.5
20,20
21.5,21.5
22,22
21.5,21.5
18,18
16.5,16.5
16.5,16.5
17,17
17,17
15,15
15.5,15.5
17.5,17.5
18.5,18.5
19.5,19.5
19,19
19,19
20,20
21,21
21.5,21.5
21.5,21.5
22,22
22.5,22.5
22.5,22.5
22,22
21.5,21.5
21.5,21.5
22,22
23,23
22.5,22.5
22,22
21.75,21.75
21.5,21.5
21.5,21.5
22.5,22.5
23,23
22.5,22.5
22.5,22.5
23.5,23.5
24.5,24.5
23.5,23.5
23.5,23.5
23,23
23,23
22.5,22.5
22,22
22.5,22.5
23,23
22.5,22.5
21.5,21.5
21.5,21.5
22,22
24,24
23.5,23.5
22.5,22.5
22,22
21.5,21.5
23,23
23,23
23,23
22.5,22.5
22.5,22.5
22.5,22.5
22.5,22.5
22,22
22.5,22.5
21.5,21.5
21.5,21.5
22,22
23,23
21.5,21.5
23,23
21,21
22,22
22,22
23.5,23.5
23,23
23.37,23.37
20,20
20,20
20,20
20,20
19.5,19.5
19.5,19.5
19.5,19.5
21.5,21.5
21.5,21.5
21.5,21.5
21.5,21.5
21.5,21.5
21.5,21.5
22,22
22,22
22,22
22.5,22.5
23,23
22.5,22.5
22,22
22,22
21.5,21.5
21.5,21.5
22.5,22.5
22.5,22.5
22.5,22.5
22.5,22.5
23,23
23,23
23,23
22.5,22.5
22.5,22.5
22,22
22.5,22.5
23,23
23,23
22.5,22.5
22.5,22.5
23.25,23.25
23.5,23.5
23.5,23.5
24,24
24,24
24.5,24.5
24.75,24.75
25,25
25.5,25.5
26,26
24.75,24.75
24,24
24.5,24.5
26,26
27,27
26.5,26.5
26.5,26.5
26.5,26.5
27,27
28,28
28.5,28.5
28,28
28,28
28,28
27.75,27.75
27.5,27.5
27.5,27.5
28.5,28.5
28.5,28.5
28.37,28.37
27.75,27.75
28.5,28.5
30,30
26.5,26.5
25.25,25.25
26.5,26.5
27,27
26.25,26.25
26,26
27,27
26.5,26.5
26.25,26.25
25.5,25.5
24.75,24.75
24.5,24.5
23.5,23.5
22,22
22.5,22.5
23,23
21.5,21.5
20,20
19.5,19.5
21,21
19.5,19.5
20,20
19.62,19.62
19.5,19.5
19.5,19.5
21.5,21.5
20.5,20.5
21,21
22.5,22.5
21.5,21.5
19.75,19.75
18,18
19.5,19.5
19.5,19.5
20,20
21.5,21.5
21.5,21.5
20.5,20.5
20,20
20,20
19.5,19.5
19.5,19.5
21,21
21,21
21,21
22.5,22.5
22.5,22.5
23.5,23.5
22.5,22.5
22.25,22.25
21.87,21.87
22,22
24.25,24.25
23.75,23.75
26.25,26.25
26.25,26.25
26.62,26.62
27.5,27.5
27.5,27.5
27.5,27.5
27.25,27.25
24.75,24.75
26,26
25.75,25.75
26.5,26.5
28,28
28,28
26.75,26.75
26.62,26.62
27.5,27.5
28,28
28.5,28.5
27.5,27.5
26.5,26.5
26.25,26.25
26.25,26.25
27,27
