Date,Amount Outstanding,Issued During Fortnight,Min Rate,Max Rate
17-08-2018,1586.6255,114.566103,6.8,8.1
03-08-2018,1666.5053,140.400027,6.7,8.9
20-07-2018,1638.5066,97.357457,6.65,8.6
06-07-2018,1688.4234,254.815589,6.25,9.65
22-06-2018,1744.991,212.000922,6.8,8.5
08-06-2018,1861.5261,123.145162,7.05,8.2
25-05-2018,2052.2236,171.990907,7.43,8.5
11-05-2018,2040.5654,138.554945,7.13,7.9
27-04-2018,2068.0724,83.523468,6.55,7.99
13-04-2018,2035.5747,226.489478,6.36,7.99
30-03-2018,1857.3244,331.266859,6.65,8.5
16-03-2018,1887.7625,301.106484,6.9,7.85
02-03-2018,1945.8103,319.05425,7.16,7.8
16-02-2018,1779.8182,216.457555,6.23,7.92
02-02-2018,1711.7844,327.146695,6.3,7.8
19-01-2018,1689.7659,181.980841,6.32,7.4
05-01-2018,1525.53,344.87,6.23,7.6
22-12-2017,1269.81,185.249475,6.21,7.75
08-12-2017,1196.593,122.192645,6.21,6.65
24-11-2017,1218.91,135.12,6.18,6.61
10-11-2017,1216.4894,61.846045,6.18,6.65
27-10-2017,1286.2174,137.716409,6.1,6.63
13-10-2017,1168.0323,149.571776,6.1,6.61
29-09-2017,1144.4986,169.223525,6.09,6.68
15-09-2017,824.1196,117.665518,6.12,6.53
01-09-2017,1123.992,93.790246,6.15,6.5
18-08-2017,1147.1276,121.344215,6.16,6.7
04-08-2017,1133.4064,63.651652,6.17,6.6
21-07-2017,1226.2126,200.670101,6.25,6.75
07-07-2017,1102.21,55.167604,6.32,6.68
23-06-2017,1111.1088,130.329522,6.2,6.7
09-06-2017,1251.6065,63.564669,6.4,7.05
26-05-2017,1539.4059,132.220325,6.38,6.99
12-05-2017,1734.0664,89.93501,6.4,6.95
28-04-2017,1723.0984,48.935877,6.1,6.72
14-04-2017,1830.8902,302.674879,6,6.72
31-03-2017,1557.4125,245.974195,6.21,6.7
17-03-2017,1388.2854,240.949781,6.16,6.68
03-03-2017,1460.6761,242.448465,6.12,6.71
17-02-2017,1457.4584,98.838941,6.18,6.7
03-02-2017,1506.232,108.433843,6.41,6.9
20-01-2017,1511.5261,83.103931,6.4,6.62
06-01-2017,1448.9142,76.674265,6.27,6.55
23-12-2016,1467.9963,16.712541,6,6.49
09-12-2016,1625.3625,145.476026,5.92,6.85
25-11-2016,1650.28,69.13,6.02,6.9
11-11-2016,1787.9,79.07,6.42,6.97
28-10-2016,1816.0206,51.543484,6.42,7.02
14-10-2016,1882.4456,45.25483,6.31,7.16
30-09-2016,1876.81,282.36,6.53,7.35
16-09-2016,1655.97,204.45,6.55,7.31
02-09-2016,1631.52,191.11,6.55,7.31
19-08-2016,1634.14,84.46,6.65,7.36
05-08-2016,1732.52,114.78,6.53,7.35
22-07-2016,1691.63,92.28,6.65,7.39
08-07-2016,1760.37,129.18,6.52,7.57
24-06-2016,1802.41,170.11,6.76,7.56
10-06-2016,1875.33,216.26,6.96,7.66
27-05-2016,2304.96,93.21,7.12,7.66
13-05-2016,2516.36,77.82,7.3,7.62
29-04-2016,2541.28,206.62,7.1,7.8
15-04-2016,2383.23,142.28,7.06,8.03
01-04-2016,2446.72,567.03,7.79,8.53
18-03-2016,2105.93,678.59,7.18,8.55
04-03-2016,2059.67,492.73,7.5,8.71
19-02-2016,2243.78,282.44,7.3,8.51
05-02-2016,2177.34,182.12,7.25,8.25
22-01-2016,2174.94,106.34,7.2,7.9
08-01-2016,2002.23,297.82,7.09,7.77
25-12-2015,2065.59,299.22,7.25,7.78
11-12-2015,1892.57,296.61,7.24,7.75
27-11-2015,1691.19,223.84,7.04,7.75
13-11-2015,1814.21,143.11,7.07,7.66
30-10-2015,1931.66,123.47,7.07,7.7
16-10-2015,1927.2,41.96,7,7.71
02-10-2015,2082.73,318.04,7.11,8.15
18-09-2015,1878.08,128.08,7.43,7.9
04-09-2015,1946.51,264.09,7.43,8.11
21-08-2015,2065.26,260.02,7.29,7.95
07-08-2015,2050.18,103.1,7.25,8.05
24-07-2015,2271.13,37.55,7.25,8.11
10-07-2015,2378.76,226.46,7.54,8.16
26-06-2015,2306.61,341.96,7.68,8.5
12-06-2015,2340.35,347.68,7.74,8.29
29-05-2015,2556.68,226.67,7.91,8.5
15-05-2015,2685.43,106.602527,8.16,8.5
01-05-2015,2908.23,168.44,8,8.5
17-04-2015,2981.92,151.11,7.76,8.36
03-04-2015,3290.96,443.280988,8.1,8.9
20-03-2015,2809.68,650.945073,8.38,9.1
06-03-2015,2742.7,668.61,7.55,9.16
20-02-2015,2614.95,343.01,7.75,9.09
06-02-2015,2620.87,263.549483,8.06,9.1
23-01-2015,2633.7779,116.26,8.06,8.65
09-01-2015,2787.83,263.11,8.3,8.67
26-12-2014,2618.8,323.8,8.24,8.74
12-12-2014,2402.83,253.94,8.21,8.82
28-11-2014,2581.24,318.89,8.3,8.84
14-11-2014,2588.04,206.41,8.33,9.12
31-10-2014,2625.09,104.06,8.31,8.98
17-10-2014,2787.7,141.92,8.34,9.4
03-10-2014,2809.46,174.32,8.52,9.25
19-09-2014,2975.85,254.68,8.6,9.23
05-09-2014,3049.57,387.05,8.66,9.2
22-08-2014,3044.28,344.98,8.73,9.94
08-08-2014,3134.01,307.35,8.5,9.48
25-07-2014,3032.5,84.82,8.38,9.41
11-07-2014,3212.34,121.96,8.33,8.96
27-06-2014,3375.85,448.8,8.48,9.29
13-06-2014,3227.26,512.29,8.08,9.11
30-05-2014,3585.87,317.2,8.6,9.33
16-05-2014,3535.59,147.54,8.98,9.56
02-05-2014,3665.69,93.99,8.43,9.32
