Date,India
30-09-1939,29
31-10-1939,32
30-11-1939,34
31-12-1939,36
31-01-1940,35
29-02-1940,34
31-03-1940,32
30-04-1940,32
31-05-1940,31
30-06-1940,30
31-07-1940,30
31-08-1940,30
30-09-1940,29
31-10-1940,30
30-11-1940,31
31-12-1940,31
31-01-1941,32
28-02-1941,32
31-03-1941,32
30-04-1941,32
31-05-1941,32
30-06-1941,32
31-07-1941,34
31-08-1941,35
30-09-1941,38
31-10-1941,39
30-11-1941,44
31-12-1941,37
31-01-1942,36
28-02-1942,35
31-03-1942,35
30-04-1942,34
31-05-1942,35
30-06-1942,35
31-07-1942,36
31-08-1942,36
30-09-1942,38
31-10-1942,40
30-11-1942,41
31-12-1942,41
31-01-1943,42
28-02-1943,43
31-03-1943,46
30-04-1943,48
31-05-1943,48
30-06-1943,50
31-07-1943,47
31-08-1943,47
30-09-1943,50
31-10-1943,52
30-11-1943,53
31-12-1943,53
31-01-1944,57
29-02-1944,56
31-03-1944,56
30-04-1944,55
31-05-1944,57
30-06-1944,59
31-07-1944,61
31-08-1944,59
30-09-1944,56
31-10-1944,58
30-11-1944,59
31-12-1944,60
31-01-1945,61
28-02-1945,61
31-03-1945,62
30-04-1945,61
31-05-1945,63
30-06-1945,62
31-07-1945,62
31-08-1945,60
30-09-1945,61
31-10-1945,62
30-11-1945,63
31-12-1945,63
31-01-1946,64
28-02-1946,64
31-03-1946,63
30-04-1946,64
31-05-1946,65
30-06-1946,64
31-07-1946,64
31-08-1946,64
30-09-1946,57
31-10-1946,55
30-11-1946,52
31-12-1946,51
31-01-1947,52
28-02-1947,48
31-03-1947,48
30-04-1947,44
31-05-1947,43
30-06-1947,40
31-07-1947,38
31-08-1947,39
30-09-1947,36
31-10-1947,35
30-11-1947,36
31-12-1947,39
31-01-1948,38
29-02-1948,37
31-03-1948,38
30-04-1948,35
31-05-1948,35
30-06-1948,34
31-07-1948,34
31-08-1948,33
30-09-1948,32
31-10-1948,32
30-11-1948,31
31-12-1948,32
31-01-1949,31
28-02-1949,31
31-03-1949,30
30-04-1949,28
31-05-1949,27
30-06-1949,25
31-07-1949,26
31-08-1949,28
30-09-1949,20
31-10-1949,19
30-11-1949,19
31-12-1949,20
31-01-1950,20
28-02-1950,20
31-03-1950,19
30-04-1950,19
31-05-1950,19
30-06-1950,19
31-07-1950,20
31-08-1950,21
30-09-1950,21
31-10-1950,21
30-11-1950,21
31-12-1950,21
31-01-1951,22
28-02-1951,22
31-03-1951,23
30-04-1951,24
31-05-1951,25
30-06-1951,25
31-07-1951,23
31-08-1951,22
30-09-1951,22
31-10-1951,22
30-11-1951,21
31-12-1951,21
31-01-1952,21
29-02-1952,21
31-03-1952,20
30-04-1952,18
31-05-1952,18
30-06-1952,18
31-07-1952,18
31-08-1952,18
30-09-1952,18
31-10-1952,18
30-11-1952,18
31-12-1952,17
31-01-1953,17
28-02-1953,17
31-03-1953,18
30-04-1953,18
31-05-1953,18
30-06-1953,18
31-07-1953,18
31-08-1953,18
30-09-1953,17
31-10-1953,17
30-11-1953,18
31-12-1953,19
31-01-1954,18
28-02-1954,19
31-03-1954,20
30-04-1954,20
31-05-1954,20
30-06-1954,21
31-07-1954,21
31-08-1954,23
30-09-1954,24
31-10-1954,23
30-11-1954,22
31-12-1954,22
31-01-1955,22
28-02-1955,22
31-03-1955,22
30-04-1955,22
31-05-1955,22
30-06-1955,22
31-07-1955,23
31-08-1955,24
30-09-1955,24
31-10-1955,25
30-11-1955,26
31-12-1955,26
31-01-1956,25
29-02-1956,24
31-03-1956,25
30-04-1956,25
31-05-1956,25
30-06-1956,25
31-07-1956,25
31-08-1956,26
30-09-1956,26
31-10-1956,25
30-11-1956,25
31-12-1956,23
31-01-1957,22
28-02-1957,22
31-03-1957,22
30-04-1957,21
31-05-1957,20
30-06-1957,20
31-07-1957,20
31-08-1957,20
30-09-1957,19
31-10-1957,19
30-11-1957,19
31-12-1957,19
31-01-1958,19
28-02-1958,19
31-03-1958,19
30-04-1958,20
31-05-1958,20
30-06-1958,20
31-07-1958,21
31-08-1958,21
30-09-1958,22
31-10-1958,22
30-11-1958,22
31-12-1958,21
31-01-1959,21
28-02-1959,21
31-03-1959,22
30-04-1959,23
31-05-1959,23
30-06-1959,23
31-07-1959,24
31-08-1959,24
30-09-1959,24
31-10-1959,24
30-11-1959,24
31-12-1959,24
31-01-1960,24
29-02-1960,24
31-03-1960,25
30-04-1960,26
31-05-1960,27
30-06-1960,27
31-07-1960,28
31-08-1960,28
30-09-1960,27
31-10-1960,26
30-11-1960,26
31-12-1960,26
31-01-1961,25
28-02-1961,26
31-03-1961,28
30-04-1961,28
31-05-1961,28
30-06-1961,28
31-07-1961,28
31-08-1961,28
30-09-1961,27
31-10-1961,28
30-11-1961,29
31-12-1961,28
31-01-1962,29
28-02-1962,29
31-03-1962,30
30-04-1962,30
31-05-1962,30
30-06-1962,29
31-07-1962,28
31-08-1962,29
30-09-1962,28
31-10-1962,28
30-11-1962,26
31-12-1962,26
31-01-1963,26
28-02-1963,26
31-03-1963,25
30-04-1963,25
31-05-1963,25
30-06-1963,25
31-07-1963,25
31-08-1963,25
30-09-1963,25
31-10-1963,26
30-11-1963,27
31-12-1963,27
31-01-1964,26
29-02-1964,26
31-03-1964,26
30-04-1964,26
31-05-1964,25
30-06-1964,25
31-07-1964,25
31-08-1964,25
30-09-1964,26
31-10-1964,25
30-11-1964,25
31-12-1964,25
31-01-1965,25
28-02-1965,25
31-03-1965,24
30-04-1965,24
31-05-1965,23
30-06-1965,23
31-07-1965,23
31-08-1965,23
30-09-1965,22
31-10-1965,22
30-11-1965,22
31-12-1965,21
31-01-1966,21
28-02-1966,21
31-03-1966,22
30-04-1966,23
31-05-1966,23
30-06-1966,15
31-07-1966,15
31-08-1966,14
30-09-1966,14
31-10-1966,14
30-11-1966,14
31-12-1966,14
31-01-1967,15
28-02-1967,15
31-03-1967,15
30-04-1967,15
31-05-1967,15
30-06-1967,14
31-07-1967,14
31-08-1967,14
30-09-1967,14
31-10-1967,14
30-11-1967,14
31-12-1967,14
31-01-1968,14
29-02-1968,13
31-03-1968,14
30-04-1968,14
31-05-1968,14
30-06-1968,15
31-07-1968,15
31-08-1968,15
30-09-1968,15
31-10-1968,15
30-11-1968,15
31-12-1968,15
31-01-1969,15
28-02-1969,16
31-03-1969,16
30-04-1969,16
31-05-1969,17
30-06-1969,18
31-07-1969,18
31-08-1969,16
30-09-1969,17
31-10-1969,17
30-11-1969,17
31-12-1969,16
31-01-1970,16
28-02-1970,16
31-03-1970,17
30-04-1970,18
31-05-1970,18
30-06-1970,18
31-07-1970,18
31-08-1970,19
30-09-1970,20
31-10-1970,20
30-11-1970,19
31-12-1970,19
31-01-1971,19
28-02-1971,19
31-03-1971,19
30-04-1971,19
31-05-1971,19
30-06-1971,18
31-07-1971,18
31-08-1971,17
30-09-1971,17
31-10-1971,17
30-11-1971,16
31-12-1971,17
31-01-1972,18
29-02-1972,18
31-03-1972,18
30-04-1972,19
31-05-1972,19
30-06-1972,17
31-07-1972,17
31-08-1972,16
30-09-1972,16
31-10-1972,16
30-11-1972,16
31-12-1972,16
31-01-1973,16
28-02-1973,17
31-03-1973,17
30-04-1973,18
31-05-1973,19
30-06-1973,20
31-07-1973,19
31-08-1973,19
30-09-1973,20
31-10-1973,21
30-11-1973,21
31-12-1973,20
31-01-1974,19
28-02-1974,20
31-03-1974,22
30-04-1974,22
