Date,Initial Claims - Composite
1945-08-01,267000
1945-09-01,271000
1945-10-01,200000
1945-11-01,177000
1945-12-01,177000
1946-01-01,268000
1946-02-01,236000
1946-03-01,184000
1946-04-01,223000
1946-05-01,243000
1946-06-01,190000
1946-07-01,148000
1946-08-01,123000
1946-09-01,138000
1946-10-01,148000
1946-11-01,148000
1946-12-01,207000
1947-01-01,220000
1947-02-01,183000
1947-03-01,176000
1947-04-01,232000
1947-05-01,265000
1947-06-01,209000
1947-07-01,205000
1947-08-01,148000
1947-09-01,128000
1947-10-01,134000
1947-11-01,150000
1947-12-01,180000
1948-01-01,215000
1948-02-01,221000
1948-03-01,191000
1948-04-01,238000
1948-05-01,242000
1948-06-01,210000
1948-07-01,191000
1948-08-01,160000
1948-09-01,155000
1948-10-01,172000
1948-11-01,217000
1948-12-01,288000
1949-01-01,370000
1949-02-01,324000
1949-03-01,316000
1949-04-01,428000
1949-05-01,377000
1949-06-01,345000
1949-07-01,337000
1949-08-01,307000
1949-09-01,230000
1949-10-01,325000
1949-11-01,351000
1949-12-01,370000
1950-01-01,383000
1950-02-01,302000
1950-03-01,262000
1950-04-01,294000
1950-05-01,247000
1950-06-01,241000
1950-07-01,225000
1950-08-01,137000
1950-09-01,132000
1950-10-01,162000
1950-11-01,204000
1950-12-01,247000
1951-01-01,229000
1951-02-01,188000
1951-03-01,158000
1951-04-01,219000
1951-05-01,193000
1951-06-01,199000
1951-07-01,241000
1951-08-01,205000
1951-09-01,180000
1951-10-01,195000
1951-11-01,213000
1951-12-01,270000
1952-01-01,294000
1952-02-01,207000
1952-03-01,199000
1952-04-01,236000
1952-05-01,203000
1952-06-01,228000
1952-07-01,324000
1952-08-01,170000
1952-09-01,128000
1952-10-01,146000
1952-11-01,170000
1952-12-01,240000
1953-01-01,236000
1953-02-01,184000
1953-03-01,179000
1953-04-01,190000
1953-05-01,186000
1953-06-01,182000
1953-07-01,213000
1953-08-01,189000
1953-09-01,186000
1953-10-01,209000
1953-11-01,295000
1953-12-01,351000
1954-01-01,416000
1954-02-01,335000
1954-03-01,303000
1954-04-01,328000
1954-05-01,292000
1954-06-01,289000
1954-07-01,303000
1954-08-01,263000
1954-09-01,255000
1954-10-01,262000
1954-11-01,271000
1954-12-01,315000
1955-01-01,355000
1955-02-01,257000
1955-03-01,217000
1955-04-01,238000
1955-05-01,205000
1955-06-01,202000
1955-07-01,229000
1955-08-01,189000
1955-09-01,163000
1955-10-01,187000
1955-11-01,211000
1955-12-01,269000
1956-01-01,303000
1956-02-01,247000
1956-03-01,211000
1956-04-01,232000
1956-05-01,214000
1956-06-01,204000
1956-07-01,252000
1956-08-01,180000
1956-09-01,189000
1956-10-01,180000
1956-11-01,219000
1956-12-01,291000
1957-01-01,337000
1957-02-01,248000
1957-03-01,212000
1957-04-01,248000
1957-05-01,216000
1957-06-01,218000
1957-07-01,273000
1957-08-01,189000
1957-09-01,243000
1957-10-01,256000
1957-11-01,316000
1957-12-01,457000
1958-01-01,492000
1958-02-01,451000
1958-03-01,425000
1958-04-01,448000
1958-05-01,347000
1958-06-01,357000
1958-07-01,357000
1958-08-01,295000
1958-09-01,267000
1958-10-01,271000
1958-11-01,312000
1958-12-01,415000
1959-01-01,403000
1959-02-01,316000
1959-03-01,255000
1959-04-01,247000
1959-05-01,209000
1959-06-01,221000
1959-07-01,267000
1959-08-01,241000
1959-09-01,213000
1959-10-01,272000
1959-11-01,357000
1959-12-01,358000
1960-01-01,386000
1960-02-01,301000
1960-03-01,301000
1960-04-01,293000
1960-05-01,264000
1960-06-01,272000
1960-07-01,339000
1960-08-01,306000
1960-09-01,274000
1960-10-01,332000
1960-11-01,396000
1960-12-01,494000
1961-01-01,539000
1961-02-01,478000
1961-03-01,370000
1961-04-01,365000
1961-05-01,296000
1961-06-01,278000
1961-07-01,355000
1961-08-01,269000
1961-09-01,255000
1961-10-01,275000
1961-11-01,318000
1961-12-01,393000
1962-01-01,427000
1962-02-01,318000
1962-03-01,272000
1962-04-01,265000
1962-05-01,248000
1962-06-01,256000
1962-07-01,316000
1962-08-01,259000
1962-09-01,233000
1962-10-01,272000
1962-11-01,312000
1962-12-01,420000
1963-01-01,444000
1963-02-01,322000
1963-03-01,270000
1963-04-01,272000
1963-05-01,237000
1963-06-01,238000
1963-07-01,295000
1963-08-01,244000
1963-09-01,221000
1963-10-01,251000
1963-11-01,289000
